frame_index,pts_ms,timecode,keypoint,x,y
12,367,00:00:00.367,wrist,600.8985328674316,442.61064291000366
12,367,00:00:00.367,hand,657.9599189758301,442.3796081542969
12,367,00:00:00.367,hip,483.6449432373047,648.7703132629395
12,367,00:00:00.367,knee,786.7335891723633,644.6277165412903
12,367,00:00:00.367,ankle,1035.4785919189453,781.0457897186279
13,400,00:00:00.400,ear,343.17835807800293,194.5738309621811
13,400,00:00:00.400,shoulder,302.66627311706543,347.2766840457916
13,400,00:00:00.400,elbow,434.97239112854004,483.8798940181732
13,400,00:00:00.400,wrist,602.0238304138184,441.53284549713135
13,400,00:00:00.400,hand,656.9907188415527,435.2985119819641
13,400,00:00:00.400,hip,488.5382652282715,648.4850764274597
13,400,00:00:00.400,knee,787.6074028015137,646.7850494384766
13,400,00:00:00.400,ankle,1038.9690399169922,781.1826467514038
14,433,00:00:00.433,ear,319.6773147583008,198.27214121818542
14,433,00:00:00.433,shoulder,276.3657760620117,349.0003037452698
14,433,00:00:00.433,elbow,382.54886627197266,500.41001558303833
14,433,00:00:00.433,wrist,561.6376304626465,441.7939102649689
14,433,00:00:00.433,hand,616.2444305419922,435.97291588783264
14,433,00:00:00.433,hip,477.55093574523926,651.4005303382874
14,433,00:00:00.433,knee,783.222541809082,660.2766680717468
14,433,00:00:00.433,ankle,1038.9577102661133,781.2450242042542
15,467,00:00:00.467,ear,299.8136043548584,201.74443781375885
15,467,00:00:00.467,shoulder,255.04680633544922,350.79128980636597
15,467,00:00:00.467,elbow,340.9965705871582,511.38732075691223
15,467,00:00:00.467,wrist,509.78038787841797,441.26556873321533
15,467,00:00:00.467,hand,558.8700485229492,428.7133777141571
15,467,00:00:00.467,hip,475.95691680908203,651.7599248886108
15,467,00:00:00.467,knee,776.6851043701172,667.4646878242493
15,467,00:00:00.467,ankle,1038.8898468017578,777.8669214248657
16,500,00:00:00.500,ear,284.3356132507324,208.78810107707977
16,500,00:00:00.500,shoulder,239.4603967666626,349.9093794822693
16,500,00:00:00.500,elbow,291.2271308898926,509.8222839832306
16,500,00:00:00.500,wrist,456.82271003723145,438.3899939060211
16,500,00:00:00.500,hand,504.08878326416016,422.02276825904846
16,500,00:00:00.500,hip,476.2704563140869,651.2012958526611
16,500,00:00:00.500,knee,771.8900871276855,675.9580636024475
16,500,00:00:00.500,ankle,1033.333625793457,776.8529176712036
17,533,00:00:00.533,ear,272.8886032104492,214.09237325191498
17,533,00:00:00.533,shoulder,223.76349449157715,351.08293175697327
17,533,00:00:00.533,elbow,251.85224533081055,513.9668440818787
17,533,00:00:00.533,wrist,407.3099613189697,433.5119676589966
17,533,00:00:00.533,hand,450.9053707122803,412.71745562553406
17,533,00:00:00.533,hip,476.1277770996094,651.7803311347961
17,533,00:00:00.533,knee,768.1580543518066,677.2860789299011
17,533,00:00:00.533,ankle,1031.722183227539,777.0791244506836
18,567,00:00:00.567,ear,260.76284408569336,217.68599689006805
18,567,00:00:00.567,shoulder,218.52181434631348,350.8077049255371
18,567,00:00:00.567,elbow,228.3675241470337,521.1892712116241
18,567,00:00:00.567,wrist,372.1219825744629,417.8739273548126
18,567,00:00:00.567,hand,415.74368476867676,400.1905632019043
18,567,00:00:00.567,hip,475.2279567718506,651.5012741088867
18,567,00:00:00.567,knee,768.5868072509766,681.7195129394531
18,567,00:00:00.567,ankle,1031.6703414916992,777.218234539032
19,600,00:00:00.600,ear,260.3824996948242,218.3110910654068
19,600,00:00:00.600,shoulder,218.9015293121338,351.48922204971313
19,600,00:00:00.600,elbow,227.96210289001465,525.9201085567474
19,600,00:00:00.600,wrist,373.97183418273926,415.4844331741333
19,600,00:00:00.600,hand,416.16087913513184,398.42114210128784
19,600,00:00:00.600,hip,473.97631645202637,651.4006590843201
19,600,00:00:00.600,knee,762.9441261291504,679.2905259132385
19,600,00:00:00.600,ankle,1029.8835754394531,776.445050239563
20,633,00:00:00.633,ear,253.78395080566406,221.25651061534882
20,633,00:00:00.633,shoulder,209.60512161254883,353.7614929676056
20,633,00:00:00.633,elbow,203.38065147399902,534.7977912425995
20,633,00:00:00.633,wrist,341.0196018218994,406.2463581562042
20,633,00:00:00.633,hand,382.3843574523926,388.7274992465973
20,633,00:00:00.633,hip,472.2481155395508,652.1292328834534
20,633,00:00:00.633,knee,763.6472511291504,679.1037797927856
20,633,00:00:00.633,ankle,1030.2881240844727,776.5788817405701
21,667,00:00:00.667,ear,248.36843490600586,223.4068912267685
21,667,00:00:00.667,shoulder,203.94626140594482,356.98532581329346
21,667,00:00:00.667,elbow,195.93069076538086,539.7387099266052
21,667,00:00:00.667,wrist,322.3403263092041,402.9550302028656
21,667,00:00:00.667,hand,359.7553825378418,383.1891345977783
21,667,00:00:00.667,hip,471.60447120666504,652.0258498191833
21,667,00:00:00.667,knee,765.7901000976562,680.840756893158
21,667,00:00:00.667,ankle,1030.4325485229492,776.6465377807617
22,700,00:00:00.700,ear,249.39351081848145,226.14934265613556
22,700,00:00:00.700,shoulder,200.19588947296143,359.44926738739014
22,700,00:00:00.700,elbow,188.1626272201538,543.044650554657
22,700,00:00:00.700,wrist,319.38915252685547,402.77475357055664
22,700,00:00:00.700,hand,356.643648147583,381.5376126766205
22,700,00:00:00.700,hip,468.78610610961914,651.9614124298096
22,700,00:00:00.700,knee,763.9110946655273,682.3671698570251
